Kim Campesinos!,piccolo,S10004,CO0344,RO0061,,Chris Garcia,CO0101,,,,,,,,,,,,,,,,,,
Jherek Bischoff ,doubleBass,S10004,CO0288,RO0027,,Chris Gehringer,CO0102,,,,,,,,,,,,,,,,,,
Samantha Boshnack,trumpet,S10004,CO0544,RO0082,,Chris Healings,CO0103,,,,,,,,,,,,,,,,,,
John Goodmanson,producer,S10004,CO0305,RO0062,,Chris Leonard,CO0104,,,,,,,,,,,,,,,,,,
Samantha Boshnack,flugelHorn,S10004,CO0544,RO0035,,Chris Lord-Alge,CO0105,,,,,,,,,,,,,,,,,,
Adele Adkins,lyricist,S10005,CO0002,RO0049,,Chris Sclafani,CO0106,,,,,,,,,,,,,,,,,,
Leo Taylor,drum,S10005,CO0364,RO0028,,Christian Plata,CO0107,,,,,,,,,,,,,,,,,,
Paul Epworth,orchestralArrangement,S10005,CO0478,RO0055,,Christopher Brody Brown,CO0108,,,,,,,,,,,,,,,,,,
J.A.C Redford,orchestralArrangement,S10005,CO0252,RO0055,,Christopher Rowe,CO0109,,,,,,,,,,,,,,,,,,
Charlotte Matthews,assistantOrchestraContractor,S10005,CO0097,RO0008,,Chung King Studios,CO0110,,,,,,,,,,,,,,,,,,
Jenny O'Grady,choirMaster,S10005,CO0280,RO0019,,Cirkut,CO0111,,,,,,,,,,,,,,,,,,
Nikolaj Torp Larsen,piano,S10005,CO0457,RO0060,,Clint Gibbs,CO0112,,,,,,,,,,,,,,,,,,
Garmaise,dataSanitization,S10005,CO0202,RO0024,,Cody Chicowski,CO0113,,,,,,,,,,,,,,,,,,
Tom Coyne,mastering,S10005,CO0605,RO0051,,Cory Bice,CO0114,,,,,,,,,,,,,,,,,,
Paul Epworth,percussion,S10005,CO0478,RO0059,,Curtis Peoples,CO0115,,,,,,,,,,,,,,,,,,
Cuscuna,dataCollection,S10005,CO0116,RO0023,,Cuscuna,CO0116,,,,,,,,,,,,,,,,,,
Tom Herbert,bassGuitar,S10005,CO0607,RO0013,,Cyndi Lauper,CO0117,,,,,,,,,,,,,,,,,,
Adele Adkins,composer,S10005,CO0002,RO0019,,D'Mile,CO0118,,,,,,,,,,,,,,,,,,
Paul Epworth,composer,S10005,CO0478,RO0019,,D.M.C.,CO0119,,,,,,,,,,,,,,,,,,
Tom Elmhirst,mixingEngineer,S10005,CO0606,RO0054,,DJ Frank E,CO0120,,,,,,,,,,,,,,,,,,
Paul Epworth,choirArranger,S10005,CO0478,RO0018,,Dabbaghian,CO0121,,,,,,,,,,,,,,,,,,
Isobel Griffiths,orchestraContractor,S10005,CO0250,RO0055,,Dagenais,CO0122,,,,,,,,,,,,,,,,,,
Charlotte Matthews,orchestraContractor,S10005,CO0097,RO0055,,Dallali,CO0123,,,,,,,,,,,,,,,,,,
Simon Rhodes,orchestraRecording,S10005,CO0562,RO0057,,Damien Lewis,CO0124,,,,,,,,,,,,,,,,,,
Matt Wiggins,engineer,S10005,CO0407,RO0032,,Damon Albarn,CO0125,,,,,,,,,,,,,,,,,,
James Reid,guitar,S10005,CO0265,RO0040,,Dan Korneff,CO0126,,,,,,,,,,,,,,,,,,
Adele Adkins,leadVoice,S10005,CO0002,RO0047,,Dan Reynolds,CO0127,,,,,,,,,,,,,,,,,,
